"","t-statistic","p-value","p-adj"
"229963_at",-1.54321588204823,0.125307938093788,0.145669288702802
"1566764_at",-1.53450437245974,0.128417788644397,0.149171194548234
"201909_at",-1.52625758921891,0.130016298959173,0.150913535789609
"241803_s_at",1.52174735510527,0.13088656616758,0.151808585456488
"1559584_a_at",1.51161487113717,0.133025286875273,0.154172380171115
"221133_s_at",-1.51165188540397,0.133389021469024,0.154476998388106
"231180_at",-1.50982872674762,0.13366370904059,0.154678109252565
"224590_at",1.51091634323865,0.134008726423577,0.154960241808533
"231152_at",-1.50568613301629,0.134922987596776,0.155899693592954
"203697_at",-1.48090484705072,0.141149094238986,0.162970786787246
"222774_s_at",-1.48014265428409,0.141735575944366,0.16352461700891
"226492_at",1.46513036769811,0.14532043532942,0.167534327175709
"205054_at",1.46101702904006,0.147646034800869,0.169959458105362
"205625_s_at",1.46081968902873,0.147614792947917,0.169959458105362
"204105_s_at",-1.4560787820794,0.147828614350205,0.170041779541821
"244631_at",-1.45078660367343,0.149390769311563,0.171709660522525
"207057_at",1.44937469854212,0.149696937011763,0.171932491046519
"227194_at",-1.42913489431111,0.155601435710113,0.178580058524874
"228293_at",1.41716033938253,0.158824729764112,0.182142817429854
"214135_at",-1.40954457096268,0.161374836754278,0.184928798705688
"223551_at",-1.40622332188136,0.162056879970751,0.185571490826642
"207412_x_at",1.38766401578414,0.169090537845671,0.193481026488582
"223565_at",1.37921839261206,0.17084204192531,0.195339183112509
"1555867_at",1.3682716991988,0.174272987351923,0.199104055150685
"227875_at",-1.36615956128222,0.17439486476621,0.199104055150685
"214240_at",1.34524850064345,0.181119197533533,0.206627042789745
"215028_at",-1.34312541533069,0.181540666276109,0.206953656045214
"227671_at",1.34091355057202,0.183065580130155,0.208536758317907
"224588_at",1.334580921434,0.185134811603382,0.210737097817678
"204653_at",-1.32160221783242,0.189300761136206,0.215319067830261
"205295_at",-1.30407017309967,0.194507989817123,0.220913748078647
"242299_at",-1.3061549609721,0.194419729174497,0.220913748078647
"209993_at",-1.30206301905899,0.195608430098778,0.221998892869703
"223779_at",1.26950296563369,0.207328248779476,0.235125591763984
"232082_x_at",1.26874360011102,0.2082428738296,0.235813491000827
"242787_at",-1.26634478251804,0.208229494012844,0.235813491000827
"204783_at",1.26324146486212,0.208910835330185,0.236395039830386
"213796_at",1.26470740771305,0.209285936003052,0.236469939498651
"220004_at",-1.26187948363642,0.209217345484415,0.236469939498651
"231925_at",-1.25059074046988,0.213484211393749,0.241035639855331
"206785_s_at",1.24303545775251,0.217176083873118,0.245023275172988
"230003_at",1.23385791625026,0.219448583536337,0.247404846387431
"1556054_at",-1.22969596568477,0.221216730903812,0.249214727751094
"228038_at",1.22742807409833,0.222236985829284,0.250130377261566
"230319_at",-1.22632928634279,0.2223562661352,0.250130377261566
"229797_at",1.22248162069068,0.224073627380185,0.251877183200487
"232541_at",1.22082777621569,0.224771231796059,0.252475976434165
"219471_at",-1.21889426826658,0.225432526901484,0.253033136866695
