"ID","statistic","p_value","p_adjust"
"239154_at",-2.02322081224178,0.0454417939505591,0.0718262373107531
"224342_x_at",-2.02238772135961,0.0454942963162506,0.0719042540948619
"224904_at",-2.02148673302533,0.0454992655961252,0.071906657416769
"239609_s_at",2.02559968462041,0.0455021052092471,0.071906657416769
"227197_at",-2.02308353261178,0.0455259693226412,0.0719378411801581
"228342_s_at",-2.0194923497788,0.0455281291316838,0.0719378411801581
"201363_s_at",2.0211407230787,0.0455405525974439,0.0719515167138424
"218729_at",-2.01931327203453,0.0455430763423517,0.0719515167138424
"220419_s_at",-2.01983716915314,0.0455554653380246,0.0719584980865169
"226680_at",-2.01919044619719,0.0455569345778172,0.0719584980865169
"243874_at",-2.02394593003981,0.0455518491654262,0.0719584980865169
"232266_x_at",-2.01989269758629,0.0455763255634611,0.0719841550853837
"225014_at",2.01796294624866,0.0456857599696192,0.0721520150890955
"237561_x_at",-2.01825972505508,0.0457343401167849,0.0722237507575523
"212444_at",2.01954730988655,0.045754304557761,0.0722492849367481
"212797_at",2.01855328588341,0.0457568274168719,0.0722492849367481
"208070_s_at",-2.01935994453024,0.0457817071356585,0.0722835790260622
"214022_s_at",-2.0170156101448,0.0457887110717487,0.0722896467079175
"236027_at",2.01817979257322,0.045856830890614,0.0723921945515525
"212575_at",2.01645822672308,0.0459184977001531,0.0724845418555013
"222234_s_at",2.01625049597054,0.0459304352645387,0.0724983818413969
"236696_at",-2.01579686730459,0.0459949712903717,0.072595237640497
"1556962_at",2.01602092058578,0.0460205349987582,0.0726305731434407
"1554697_at",-2.02016491329492,0.0460283851431128,0.0726379497807749
"1563621_at",-2.01773513522296,0.0460322887996698,0.0726390978298798
"226838_at",2.01636014183587,0.046062951368134,0.0726824684551694
"203020_at",2.02066450498812,0.0460964555771179,0.0727303165952871
"228204_at",2.01362302834703,0.0462164311273848,0.0729145819455913
"214703_s_at",-2.01403903645781,0.0462360394730397,0.0729404858072993
"212795_at",-2.01235003755797,0.0462820356981899,0.0730080118925095
"206958_s_at",-2.01265769128339,0.0463385047064923,0.0730920479093372
"232716_at",-2.01237582136723,0.0464178910868889,0.073212218562562
"228038_at",-2.01212200412611,0.0464969816509289,0.0733319061000444
"222763_s_at",-2.0107912887112,0.0465035422239261,0.0733371956048262
"1557197_a_at",2.0098436908463,0.0465515135256826,0.0734077855845247
"226325_at",-2.00868612680401,0.0466882213872723,0.0736182862056617
"1554794_a_at",2.00910191628906,0.0467077949428716,0.0736435105568786
"1555875_at",-2.01448905712671,0.0467106586855304,0.0736435105568786
"219186_at",2.00985204636469,0.0467338528729271,0.0736699210920763
"227852_at",2.00889535521274,0.0467308209508437,0.0736699210920763
"227862_at",-2.00948152979567,0.0467439336703846,0.0736807335475701
"243735_at",2.00797478975291,0.0467542479639171,0.0736919125385792
