"","Term","Odds_ratio","p.value","p_adj"
"7328","GO_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","0","9.69785942778057e-05",0.0056274460968802
"7581","GO_GOLGI_MEMBRANE","1.70294230360304","9.75255968498369e-05",0.0056274460968802
"793","GO_ARGININE_METABOLIC_PROCESS","7.70025202749175","9.94241902042974e-05",0.00570494892507452
"5978","GO_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL","5.5800201697711","0.00010053558734528",0.00573667232012984
"7831","GO_MICROTUBULE_CYTOSKELETON","0.554267529876018","0.000101542541008522",0.00576211844584823
"7741","GO_GOLGI_APPARATUS","1.50215942731534","0.000109476529994417",0.00617820571193768
"2782","GO_REGULATION_OF_ORGANELLE_ORGANIZATION","0.565527590560766","0.000111996338286294",0.00628587098654932
"911","GO_POTASSIUM_ION_TRANSPORT","3.14173933945135","0.000113189496357739",0.00631831150592575
"9526","GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2.54256078478361","0.000124272003129987",0.00689944726566539
"1398","GO_FLAVONOID_METABOLIC_PROCESS","9.25725281127925","0.000125640944455235",0.00693794699193397
"2638","GO_REGULATION_OF_MICROVILLUS_ASSEMBLY","12.6854110622932","0.000133048953739312",0.00726886065881103
"4141","GO_AMINO_SUGAR_BIOSYNTHETIC_PROCESS","12.6854110622932","0.000133048953739312",0.00726886065881103
"10002","GO_HORMONE_RECEPTOR_BINDING","0.0787675043300186","0.000137651894044351",0.00748054287687582
"1951","GO_PEPTIDYL_LYSINE_MODIFICATION","0.303803002570442","0.000139097661176961",0.0074837933767091
"4258","GO_NEGATIVE_REGULATION_OF_HORMONE_SECRETION","5.30058310741846","0.000139168974291835",0.0074837933767091
"4076","GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS","0.622433576584657","0.000139927966056452",0.0074854173925303
"8082","GO_PROTEIN_DNA_COMPLEX","0","0.000144081994429887",0.00766770033569621
"1889","GO_O_GLYCAN_PROCESSING","3.33659340052028","0.000149552516127457",0.00791780357291294
"3619","GO_NEGATIVE_REGULATION_OF_ION_TRANSPORT","3.71857284363684","0.000150651875437337",0.00793510468008661
"1851","GO_ORGANIC_ACID_CATABOLIC_PROCESS","2.03519087717221","0.000152998850151876",0.0079724401662139
"2734","GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS","0.133123346664295","0.000153140697407028",0.0079724401662139
"4905","GO_POSITIVE_REGULATION_OF_SYNAPSE_ASSEMBLY","5.95919250181238","0.000153689334330674",0.0079724401662139
"9156","GO_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","2.84116194084971","0.000154843968539813",0.0079919718636805
"202","GO_TISSUE_HOMEOSTASIS","2.3863579344502","0.000158148766525758",0.0081217299049303
"755","GO_RNA_LOCALIZATION","0.213736721790719","0.000175435244865027",0.00896465373138653
"8925","GO_TRANSPORTER_ACTIVITY","1.60925111107598","0.000195751091170983",0.00995326464067904
"6311","GO_NUCLEAR_CHROMOSOME_SEGREGATION","0.247883656110441","0.000201948518819069",0.0101677119450522
"9740","GO_NUCLEAR_HORMONE_RECEPTOR_BINDING","0.0819079699658859","0.000201628256209718",0.0101677119450522
"5176","GO_NEUROEPITHELIAL_CELL_DIFFERENTIATION","4.48739259062984","0.000206667499722491",0.0102548894489701
